state;action_reward;n_state
205&5|230&3|228&3|520&4|64&3|462&4|357&2|275&2|1127&1|1330&3|528&4|286&4;263&3|257&5|455&3|181&1;205&5|230&3|228&3|520&4|64&3|462&4|357&2|275&2|1127&1|1330&3|528&4|286&4|263&3|257&5|455&3|181&1
428&4|483&4|188&3|23&4|174&4|156&4|9&3|479&5|482&3|301&3|340&3|307&4;50&3|1&4|237&4|276&4;428&4|483&4|188&3|23&4|174&4|156&4|9&3|479&5|482&3|301&3|340&3|307&4|50&3|1&4|237&4|276&4
286&1|288&2|474&5|187&5|523&5|100&5|191&4|322&2|318&3|97&4|204&4|324&4;210&4|232&3|172&5|135&5;286&1|288&2|474&5|187&5|523&5|100&5|191&4|322&2|318&3|97&4|204&4|324&4|210&4|232&3|172&5|135&5
22&4|659&3|133&5|825&3|721&5|774&5|64&3|433&4|528&4|206&4|393&1|150&2;532&5|39&5|94&1|217&5;22&4|659&3|133&5|825&3|721&5|774&5|64&3|433&4|528&4|206&4|393&1|150&2|532&5|39&5|94&1|217&5
340&4|294&4|527&3|507&4|479&4|690&1|7&4|521&4|276&4|201&5|298&5|242&4;691&5|385&5|286&5|483&5;340&4|294&4|527&3|507&4|479&4|690&1|7&4|521&4|276&4|201&5|298&5|242&4|691&5|385&5|286&5|483&5
87&5|648&4|969&4|129&3|482&5|182&5|238&4|184&4|11&3|186&3|183&5|500&5;946&3|418&4|63&4|432&4;87&5|648&4|969&4|129&3|482&5|182&5|238&4|184&4|11&3|186&3|183&5|500&5|946&3|418&4|63&4|432&4
258&3|340&4|308&2|319&2|333&1|268&4|311&3|302&4|303&4|301&3|262&1|345&4;337&2|323&2|326&3|321&2;258&3|340&4|308&2|319&2|333&1|268&4|311&3|302&4|303&4|301&3|262&1|345&4|337&2|323&2|326&3|321&2
168&5|338&5|496&4|173&5|161&4|1054&1|180&5|751&4|210&5|81&5|202&5|684&4;369&3|126&4|952&4|313&5;168&5|338&5|496&4|173&5|161&4|1054&1|180&5|751&4|210&5|81&5|202&5|684&4|369&3|126&4|952&4|313&5
28&4|218&3|7&5|92&3|193&4|318&5|487&3|56&5|357&4|939&4|175&4|114&4;276&5|81&2|150&4|173&5;28&4|218&3|7&5|92&3|193&4|318&5|487&3|56&5|357&4|939&4|175&4|114&4|276&5|81&2|150&4|173&5
181&2|245&4|288&4|300&5|1&5|676&2|125&4|471&4|477&3|258&4|756&4|742&5;284&4|410&4|282&5|118&4;181&2|245&4|288&4|300&5|1&5|676&2|125&4|471&4|477&3|258&4|756&4|742&5|284&4|410&4|282&5|118&4
56&5|323&2|294&2|181&1|322&3|678&2|172&1|127&3|568&4|325&2|357&5|216&2;187&2|510&3|182&5|79&5;56&5|323&2|294&2|181&1|322&3|678&2|172&1|127&3|568&4|325&2|357&5|216&2|187&2|510&3|182&5|79&5
56&5|237&3|14&4|122&2|385&4|117&4|849&3|1016&4|226&4|431&4|746&4|679&2;829&2|699&4|422&3|53&1;56&5|237&3|14&4|122&2|385&4|117&4|849&3|1016&4|226&4|431&4|746&4|679&2|829&2|699&4|422&3|53&1
220&5|100&4|527&4|214&2|191&5|815&4|204&4|692&4|183&4|607&5|582&4|195&3;1136&4|88&4|1300&2|470&3;220&5|100&4|527&4|214&2|191&5|815&4|204&4|692&4|183&4|607&5|582&4|195&3|1136&4|88&4|1300&2|470&3
109&3|959&3|131&3|282&3|248&4|746&4|587&4|1012&4|291&4|293&3|303&4|722&3;841&3|316&5|270&4|343&2;109&3|959&3|131&3|282&3|248&4|746&4|587&4|1012&4|291&4|293&3|303&4|722&3|841&3|316&5|270&4|343&2
280&5|993&4|255&5|275&4|546&4|222&5|220&5|841&4|298&5|274&5|326&5|717&4;818&3|476&5|931&2|1051&5;280&5|993&4|255&5|275&4|546&4|222&5|220&5|841&4|298&5|274&5|326&5|717&4|818&3|476&5|931&2|1051&5
366&2|431&3|177&5|109&4|343&5|627&3|81&3|559&3|710&4|596&4|183&5|135&3;1061&3|354&3|409&3|930&3;366&2|431&3|177&5|109&4|343&5|627&3|81&3|559&3|710&4|596&4|183&5|135&3|1061&3|354&3|409&3|930&3
508&4|301&3|475&4|1&3|286&4|300&2|922&4|269&5|455&1|111&5|7&3|346&4;117&4|109&1|151&4|628&3;508&4|301&3|475&4|1&3|286&4|300&2|922&4|269&5|455&1|111&5|7&3|346&4|117&4|109&1|151&4|628&3
302&4|879&1|294&3|264&1|258&4|323&1|336&1|292&1|289&1|333&1|324&4|330&3;358&1|272&5|923&5|313&5;302&4|879&1|294&3|264&1|258&4|323&1|336&1|292&1|289&1|333&1|324&4|330&3|358&1|272&5|923&5|313&5
271&4|316&4|751&5|300&2|313&4|322&2|912&3|258&4|328&4|346&4|690&3|286&4;887&4|245&4|312&2|1105&1;271&4|316&4|751&5|300&2|313&4|322&2|912&3|258&4|328&4|346&4|690&3|286&4|887&4|245&4|312&2|1105&1
173&5|89&4|425&5|265&4|134&5|2&3|542&1|969&5|97&2|127&5|317&5|197&5;527&3|528&5|23&5|135&5;173&5|89&4|425&5|265&4|134&5|2&3|542&1|969&5|97&2|127&5|317&5|197&5|527&3|528&5|23&5|135&5
472&4|64&5|151&4|871&3|276&4|121&4|546&3|125&4|756&3|827&3|240&5|235&3;117&5|405&5|1047&3|7&5;472&4|64&5|151&4|871&3|276&4|121&4|546&3|125&4|756&3|827&3|240&5|235&3|117&5|405&5|1047&3|7&5
294&3|158&2|211&5|148&3|53&4|284&1|447&4|528&4|48&5|563&1|117&4|502&1;573&3|368&2|404&5|317&4;294&3|158&2|211&5|148&3|53&4|284&1|447&4|528&4|48&5|563&1|117&4|502&1|573&3|368&2|404&5|317&4
200&3|474&5|135&4|96&3|168&3|640&2|176&5|269&4|175&5|496&4|318&3|204&3;156&4|191&3|179&5|522&5;200&3|474&5|135&4|96&3|168&3|640&2|176&5|269&4|175&5|496&4|318&3|204&3|156&4|191&3|179&5|522&5
79&4|276&1|172&4|240&2|642&3|294&3|273&3|98&5|195&4|568&3|317&4|223&4;237&4|121&3|204&3|238&5;79&4|276&1|172&4|240&2|642&3|294&3|273&3|98&5|195&4|568&3|317&4|223&4|237&4|121&3|204&3|238&5
125&3|478&5|953&3|485&5|82&5|199&4|993&3|211&4|435&5|479&4|274&3|132&5;494&3|65&3|715&2|708&3;125&3|478&5|953&3|485&5|82&5|199&4|993&3|211&4|435&5|479&4|274&3|132&5|494&3|65&3|715&2|708&3
873&3|237&1|25&2|117&4|131&3|597&4|369&5|111&3|405&4|222&4|472&2|335&3;748&4|1177&5|258&5|283&4;873&3|237&1|25&2|117&4|131&3|597&4|369&5|111&3|405&4|222&4|472&2|335&3|748&4|1177&5|258&5|283&4
563&3|844&5|760&2|469&5|423&4|93&4|572&3|129&5|686&5|144&5|756&3|214&4;421&4|940&3|496&5|739&3;563&3|844&5|760&2|469&5|423&4|93&4|572&3|129&5|686&5|144&5|756&3|214&4|421&4|940&3|496&5|739&3
154&5|633&5|79&4|523&4|230&3|618&4|420&5|631&4|269&3|607&3|164&5|69&5;590&2|669&1|417&3|258&4;154&5|633&5|79&4|523&4|230&3|618&4|420&5|631&4|269&3|607&3|164&5|69&5|590&2|669&1|417&3|258&4
304&2|220&4|255&5|692&5|367&4|167&4|70&4|678&2|254&3|403&4|321&5|1035&4;210&4|153&4|181&4|781&4;304&2|220&4|255&5|692&5|367&4|167&4|70&4|678&2|254&3|403&4|321&5|1035&4|210&4|153&4|181&4|781&4
280&4|1051&5|794&4|237&4|255&5|709&5|88&5|36&4|369&4|722&5|90&4|778&4;546&4|846&4|20&4|282&4;280&4|1051&5|794&4|237&4|255&5|709&5|88&5|36&4|369&4|722&5|90&4|778&4|546&4|846&4|20&4|282&4
1073&2|245&1|85&2|164&3|98&4|222&2|658&2|702&2|411&3|645&4|482&4|173&4;588&4|161&3|192&5|1131&4;1073&2|245&1|85&2|164&3|98&4|222&2|658&2|702&2|411&3|645&4|482&4|173&4|588&4|161&3|192&5|1131&4
319&2|591&4|273&3|313&4|302&5|100&4|748&2|301&4|333&3|237&3|150&4|117&3;137&3|475&3|458&4|1051&2;319&2|591&4|273&3|313&4|302&5|100&4|748&2|301&4|333&3|237&3|150&4|117&3|137&3|475&3|458&4|1051&2
879&4|751&5|539&4|269&3|301&2|323&4|313&5|678&4|316&4|748&5|302&2|328&4;892&2|1&5|15&5|338&4;879&4|751&5|539&4|269&3|301&2|323&4|313&5|678&4|316&4|748&5|302&2|328&4|892&2|1&5|15&5|338&4
325&5|321&2|262&4|748&1|328&1|342&1|326&3|338&4|887&2|937&4|750&3|877&2;879&1|1625&4|351&2|353&2;325&5|321&2|262&4|748&1|328&1|342&1|326&3|338&4|887&2|937&4|750&3|877&2|879&1|1625&4|351&2|353&2
751&4|315&3|874&5|258&3|288&3|362&3|340&5|302&5|269&5|313&4|306&4|268&5;902&5|270&5|886&4|349&3;751&4|315&3|874&5|258&3|288&3|362&3|340&5|302&5|269&5|313&4|306&4|268&5|902&5|270&5|886&4|349&3
304&4|124&3|742&4|323&3|286&3|116&4|289&3|546&2|508&4|322&4|287&4|243&2;15&4|871&2|100&5|117&4;304&4|124&3|742&4|323&3|286&3|116&4|289&3|546&2|508&4|322&4|287&4|243&2|15&4|871&2|100&5|117&4
300&3|345&3|306&3|339&3|900&3|301&3|333&4|307&2|258&4|302&5|270&4|269&4;352&5|347&4|937&5|748&5;300&3|345&3|306&3|339&3|900&3|301&3|333&4|307&2|258&4|302&5|270&4|269&4|352&5|347&4|937&5|748&5
762&4|276&5|21&3|278&3|15&4|108&4|845&4|111&4|109&5|151&2|100&5|763&2;764&4|826&3|926&3|1061&2;762&4|276&5|21&3|278&3|15&4|108&4|845&4|111&4|109&5|151&2|100&5|763&2|764&4|826&3|926&3|1061&2
209&1|501&3|125&5|291&4|304&5|223&5|431&3|265&5|239&4|951&5|432&4|963&5;422&3|693&2|141&4|1444&2;209&1|501&3|125&5|291&4|304&5|223&5|431&3|265&5|239&4|951&5|432&4|963&5|422&3|693&2|141&4|1444&2
95&4|539&2|432&3|1&4|1240&3|272&3|71&4|588&2|333&4|1110&4|358&3|902&4;25&3|235&3|926&2|111&4;95&4|539&2|432&3|1&4|1240&3|272&3|71&4|588&2|333&4|1110&4|358&3|902&4|25&3|235&3|926&2|111&4
1&4|476&3|866&4|523&3|321&3|257&4|328&4|756&2|56&3|25&4|249&3|285&3;1023&2|1054&3|411&4|1040&2;1&4|476&3|866&4|523&3|321&3|257&4|328&4|756&2|56&3|25&4|249&3|285&3|1023&2|1054&3|411&4|1040&2
221&3|813&3|248&3|287&4|124&5|286&5|1&4|293&3|845&4|126&4|744&4|127&4;536&5|276&5|750&5|302&5;221&3|813&3|248&3|287&4|124&5|286&5|1&4|293&3|845&4|126&4|744&4|127&4|536&5|276&5|750&5|302&5
121&3|118&3|151&1|845&4|222&4|283&4|14&4|866&2|15&5|477&5|1&5|815&4;235&4|934&3|412&2|820&3;121&3|118&3|151&1|845&4|222&4|283&4|14&4|866&2|15&5|477&5|1&5|815&4|235&4|934&3|412&2|820&3
223&5|673&3|509&2|127&3|58&3|121&1|69&5|660&5|468&3|162&4|50&2|215&4;281&3|291&3|88&3|298&2;223&5|673&3|509&2|127&3|58&3|121&1|69&5|660&5|468&3|162&4|50&2|215&4|281&3|291&3|88&3|298&2
272&3|242&4|313&4|340&4|315&5|311&4|354&4|301&4|303&3|304&4|328&4|321&3;326&3|344&2|307&2|896&2;272&3|242&4|313&4|340&4|315&5|311&4|354&4|301&4|303&3|304&4|328&4|321&3|326&3|344&2|307&2|896&2
480&5|210&5|208&5|121&5|663&2|153&4|15&5|96&4|659&4|485&5|204&5|132&5;168&5|228&5|174&5|181&5;480&5|210&5|208&5|121&5|663&2|153&4|15&5|96&4|659&4|485&5|204&5|132&5|168&5|228&5|174&5|181&5
127&5|193&4|509&4|673&3|382&3|661&4|429&3|175&5|83&5|469&5|197&5|427&3;727&4|737&4|956&4|423&4;127&5|193&4|509&4|673&3|382&3|661&4|429&3|175&5|83&5|469&5|197&5|427&3|727&4|737&4|956&4|423&4
289&3|888&4|328&2|300&3|879&2|872&3|269&4|304&3|286&3|258&5|319&3|326&3;1175&5|889&5|683&5|1176&5;289&3|888&4|328&2|300&3|879&2|872&3|269&4|304&3|286&3|258&5|319&3|326&3|1175&5|889&5|683&5|1176&5
476&4|237&3|111&5|1011&3|121&4|284&3|15&3|1&4|118&4|1093&3|235&3|546&4;1312&2|934&4|831&1|1322&2;476&4|237&3|111&5|1011&3|121&4|284&3|15&3|1&4|118&4|1093&3|235&3|546&4|1312&2|934&4|831&1|1322&2
14&5|180&4|528&5|508&5|124&3|210&3|143&1|496&5|282&4|301&3|22&4|274&3;255&2|333&4|405&3|252&4;14&5|180&4|528&5|508&5|124&3|210&3|143&1|496&5|282&4|301&3|22&4|274&3|255&2|333&4|405&3|252&4
283&3|245&3|322&3|146&4|10&3|117&3|1&2|224&4|847&3|312&4|9&3|149&4;327&4|276&5|311&5|14&5;283&3|245&3|322&3|146&4|10&3|117&3|1&2|224&4|847&3|312&4|9&3|149&4|327&4|276&5|311&5|14&5
746&3|94&3|804&3|17&3|108&3|159&3|180&3|540&2|176&4|327&3|660&2|692&3;1035&3|241&4|420&3|82&4;746&3|94&3|804&3|17&3|108&3|159&3|180&3|540&2|176&4|327&3|660&2|692&3|1035&3|241&4|420&3|82&4
38&5|568&4|588&5|234&5|427&4|406&4|298&5|288&5|633&5|928&5|172&5|121&5;197&5|15&5|207&5|133&5;38&5|568&4|588&5|234&5|427&4|406&4|298&5|288&5|633&5|928&5|172&5|121&5|197&5|15&5|207&5|133&5
921&5|269&5|515&4|275&4|509&4|300&1|475&4|127&4|14&4|70&4|923&3|86&3;1018&2|582&5|949&2|1214&1;921&5|269&5|515&4|275&4|509&4|300&1|475&4|127&4|14&4|70&4|923&3|86&3|1018&2|582&5|949&2|1214&1
690&5|304&5|323&5|243&3|301&5|258&5|300&5|892&4|321&3|289&2|895&5|292&3;748&3|901&4|988&4|315&4;690&5|304&5|323&5|243&3|301&5|258&5|300&5|892&4|321&3|289&2|895&5|292&3|748&3|901&4|988&4|315&4
331&5|258&4|50&5|628&4|273&3|25&4|117&4|100&1|245&3|24&3|742&2|288&3;148&4|7&3|118&3|237&4;331&5|258&4|50&5|628&4|273&3|25&4|117&4|100&1|245&3|24&3|742&2|288&3|148&4|7&3|118&3|237&4
246&5|118&3|405&2|150&5|214&5|132&5|144&5|251&4|286&4|943&3|1014&3|544&3;173&5|161&3|91&5|71&5;246&5|118&3|405&2|150&5|214&5|132&5|144&5|251&4|286&4|943&3|1014&3|544&3|173&5|161&3|91&5|71&5
137&5|660&4|213&5|223&3|505&4|319&2|81&4|654&5|474&5|483&5|340&5|286&5;488&4|603&5|86&5|639&4;137&5|660&4|213&5|223&3|505&4|319&2|81&4|654&5|474&5|483&5|340&5|286&5|488&4|603&5|86&5|639&4
762&4|318&4|285&5|252&5|274&4|271&3|249&4|302&3|405&4|168&4|7&4|410&4;265&3|195&4|87&4|89&4;762&4|318&4|285&5|252&5|274&4|271&3|249&4|302&3|405&4|168&4|7&4|410&4|265&3|195&4|87&4|89&4
153&4|98&5|209&5|186&3|204&3|39&2|659&4|712&3|12&5|173&3|466&4|762&4;504&3|203&4|695&3|591&3;153&4|98&5|209&5|186&3|204&3|39&2|659&4|712&3|12&5|173&3|466&4|762&4|504&3|203&4|695&3|591&3
321&3|289&3|748&4|328&4|294&4|286&3|988&4|876&3|245&4|258&2|346&3|269&4;295&3|249&2|127&4|50&4;321&3|289&3|748&4|328&4|294&4|286&3|988&4|876&3|245&4|258&2|346&3|269&4|295&3|249&2|127&4|50&4
231&4|22&5|197&5|250&3|328&3|291&3|29&4|1016&4|15&4|79&4|82&4|748&4;70&3|203&3|1263&3|73&5;231&4|22&5|197&5|250&3|328&3|291&3|29&4|1016&4|15&4|79&4|82&4|748&4|70&3|203&3|1263&3|73&5
237&3|153&3|24&5|55&4|640&3|182&5|276&5|123&4|463&4|93&5|514&4|9&3;770&4|211&4|955&4|564&3;237&3|153&3|24&5|55&4|640&3|182&5|276&5|123&4|463&4|93&5|514&4|9&3|770&4|211&4|955&4|564&3
328&3|340&5|307&5|258&1|300&5|313&3|269&4|347&5|333&4|271&4|902&5|245&4;678&3|260&3|748&2|323&4;328&3|340&5|307&5|258&1|300&5|313&3|269&4|347&5|333&4|271&4|902&5|245&4|678&3|260&3|748&2|323&4
410&2|7&4|849&4|125&2|147&3|117&4|222&2|151&2|1&3|815&3|471&4|15&3;363&3|926&3|405&2|21&1;410&2|7&4|849&4|125&2|147&3|117&4|222&2|151&2|1&3|815&3|471&4|15&3|363&3|926&3|405&2|21&1
991&1|751&3|513&5|705&5|22&4|289&3|14&3|479&4|324&2|680&1|483&5|878&1;748&2|223&4|652&3|529&4;991&1|751&3|513&5|705&5|22&4|289&3|14&3|479&4|324&2|680&1|483&5|878&1|748&2|223&4|652&3|529&4
275&3|720&2|455&3|628&3|125&4|845&3|393&3|148&2|1025&2|246&4|24&3|820&2;722&2|399&3|542&2|576&4;275&3|720&2|455&3|628&3|125&4|845&3|393&3|148&2|1025&2|246&4|24&3|820&2|722&2|399&3|542&2|576&4
100&4|735&2|134&4|197&5|242&5|127&5|657&4|294&1|483&4|98&4|135&5|1269&2;285&5|255&1|432&5|9&5;100&4|735&2|134&4|197&5|242&5|127&5|657&4|294&1|483&4|98&4|135&5|1269&2|285&5|255&1|432&5|9&5
174&5|168&5|23&5|604&5|515&5|489&4|1&4|340&4|286&5|427&5|603&5|127&5;483&5|98&4|195&5|179&5;174&5|168&5|23&5|604&5|515&5|489&4|1&4|340&4|286&5|427&5|603&5|127&5|483&5|98&4|195&5|179&5
191&3|22&5|328&3|234&4|147&5|292&4|425&3|173&5|100&5|528&5|196&4|92&4;81&3|39&2|381&4|7&2;191&3|22&5|328&3|234&4|147&5|292&4|425&3|173&5|100&5|528&5|196&4|92&4|81&3|39&2|381&4|7&2
302&5|308&2|15&3|879&4|300&4|321&2|744&5|292&3|289&3|276&5|259&3|269&4;224&5|273&3|9&5|222&4;302&5|308&2|15&3|879&4|300&4|321&2|744&5|292&3|289&3|276&5|259&3|269&4|224&5|273&3|9&5|222&4
405&1|151&5|149&2|117&2|1&4|591&3|275&3|25&4|237&2|100&4|325&1|285&3;546&1|685&3|831&1|866&3;405&1|151&5|149&2|117&2|1&4|591&3|275&3|25&4|237&2|100&4|325&1|285&3|546&1|685&3|831&1|866&3
109&4|268&4|875&2|1&4|117&3|294&4|328&2|301&1|332&3|237&3|322&1|748&4;535&2|125&4|742&3|121&4;109&4|268&4|875&2|1&4|117&3|294&4|328&2|301&1|332&3|237&3|322&1|748&4|535&2|125&4|742&3|121&4
340&4|358&1|895&4|880&5|948&3|346&4|887&5|313&5|288&4|271&5|300&4|260&4;678&2|1527&4|322&3|294&4;340&4|358&1|895&4|880&5|948&3|346&4|887&5|313&5|288&4|271&5|300&4|260&4|678&2|1527&4|322&3|294&4
845&3|181&4|156&4|50&4|100&5|25&4|228&3|174&5|118&4|568&4|151&4|284&2;924&3|546&4|1087&4|281&4;845&3|181&4|156&4|50&4|100&5|25&4|228&3|174&5|118&4|568&4|151&4|284&2|924&3|546&4|1087&4|281&4
1392&4|1175&5|682&4|260&4|1233&4|360&4|328&4|264&4|306&4|882&4|324&4|681&4;336&4|242&4|271&3|872&4;1392&4|1175&5|682&4|260&4|1233&4|360&4|328&4|264&4|306&4|882&4|324&4|681&4|336&4|242&4|271&3|872&4
96&4|144&5|356&4|132&3|1018&3|463&5|674&2|443&3|554&3|791&3|1133&3|102&4;505&3|1230&1|648&3|471&5;96&4|144&5|356&4|132&3|1018&3|463&5|674&2|443&3|554&3|791&3|1133&3|102&4|505&3|1230&1|648&3|471&5
282&4|2&3|235&1|7&4|931&2|73&4|181&4|774&4|52&4|328&3|173&3|184&3;215&2|373&3|29&2|145&2;282&4|2&3|235&1|7&4|931&2|73&4|181&4|774&4|52&4|328&3|173&3|184&3|215&2|373&3|29&2|145&2
226&5|95&3|1083&1|117&5|566&5|405&3|291&4|281&4|1277&4|540&4|56&3|79&5;988&4|829&4|302&3|148&4;226&5|95&3|1083&1|117&5|566&5|405&3|291&4|281&4|1277&4|540&4|56&3|79&5|988&4|829&4|302&3|148&4
300&5|735&5|1&5|1020&5|826&2|31&3|655&4|474&5|1124&3|956&4|472&3|1047&3;627&4|417&3|218&3|229&3;300&5|735&5|1&5|1020&5|826&2|31&3|655&4|474&5|1124&3|956&4|472&3|1047&3|627&4|417&3|218&3|229&3
347&4|242&4|531&5|750&4|427&5|321&2|303&5|286&4|891&2|305&4|306&5|1007&4;937&1|650&5|1653&5|235&1;347&4|242&4|531&5|750&4|427&5|321&2|303&5|286&4|891&2|305&4|306&5|1007&4|937&1|650&5|1653&5|235&1
1&4|418&3|627&1|225&5|422&5|99&2|82&5|596&1|768&3|393&5|404&2|432&1;969&2|71&3|102&5|94&5;1&4|418&3|627&1|225&5|422&5|99&2|82&5|596&1|768&3|393&5|404&2|432&1|969&2|71&3|102&5|94&5
56&5|1248&3|553&3|260&4|259&3|934&1|823&3|9&2|869&4|134&4|770&1|195&5;1102&1|1002&1|50&5|552&5;56&5|1248&3|553&3|260&4|259&3|934&1|823&3|9&2|869&4|134&4|770&1|195&5|1102&1|1002&1|50&5|552&5
1407&3|785&5|1126&1|180&2|849&4|1&2|272&4|199&3|173&5|402&5|478&5|118&4;418&4|281&4|974&3|1036&4;1407&3|785&5|1126&1|180&2|849&4|1&2|272&4|199&3|173&5|402&5|478&5|118&4|418&4|281&4|974&3|1036&4
286&4|269&3|323&3|300&4|327&3|302&3|245&4|303&4|358&2|328&4|690&3|332&3;689&3|307&3|988&2|754&3;286&4|269&3|323&3|300&4|327&3|302&3|245&4|303&4|358&2|328&4|690&3|332&3|689&3|307&3|988&2|754&3
432&4|430&5|100&2|192&1|7&5|1&4|408&5|222&5|193&4|466&3|423&5|82&4;153&5|670&5|32&5|526&3;432&4|430&5|100&2|192&1|7&5|1&4|408&5|222&5|193&4|466&3|423&5|82&4|153&5|670&5|32&5|526&3
298&4|1011&2|919&2|109&5|124&5|273&4|1012&3|248&3|1017&2|293&4|257&4|127&5;249&3|1059&4|240&3|742&2;298&4|1011&2|919&2|109&5|124&5|273&4|1012&3|248&3|1017&2|293&4|257&4|127&5|249&3|1059&4|240&3|742&2
451&5|66&3|699&4|566&2|1098&4|1044&4|151&4|404&3|485&5|652&2|12&5|237&2;578&5|716&5|370&5|552&1;451&5|66&3|699&4|566&2|1098&4|1044&4|151&4|404&3|485&5|652&2|12&5|237&2|578&5|716&5|370&5|552&1
816&3|895&3|898&4|181&5|288&4|294&1|50&5|300&3|447&3|100&3|346&5|717&5;219&5|145&4|672&3|53&5;816&3|895&3|898&4|181&5|288&4|294&1|50&5|300&3|447&3|100&3|346&5|717&5|219&5|145&4|672&3|53&5
238&5|357&3|98&4|215&2|168&4|154&5|15&2|125&3|89&5|519&5|172&3|176&4;133&2|97&2|23&4|511&2;238&5|357&3|98&4|215&2|168&4|154&5|15&2|125&3|89&5|519&5|172&3|176&4|133&2|97&2|23&4|511&2
242&4|1296&2|303&2|306&2|334&4|1393&2|304&3|690&3|258&5|331&5|326&5|879&4;324&3|286&4|333&3|319&4;242&4|1296&2|303&2|306&2|334&4|1393&2|304&3|690&3|258&5|331&5|326&5|879&4|324&3|286&4|333&3|319&4
