state;action_reward;n_state
114&4|275&4|285&5|178&4|701&3|276&4|514&5|160&1|939&3|269&5|318&4|25&4;237&4|199&4|447&4|258&4;114&4|275&4|285&5|178&4|701&3|276&4|514&5|160&1|939&3|269&5|318&4|25&4|237&4|199&4|447&4|258&4
151&4|100&5|1047&2|50&5|257&2|7&5|117&4|127&4|546&3|866&4|1&4|274&3;760&1|410&2|472&4|284&1;151&4|100&5|1047&2|50&5|257&2|7&5|117&4|127&4|546&3|866&4|1&4|274&3|760&1|410&2|472&4|284&1
15&3|1017&4|1014&3|150&5|13&4|19&5|864&1|1061&2|284&2|237&3|744&4|1009&3;275&4|740&4|1331&4|127&4;15&3|1017&4|1014&3|150&5|13&4|19&5|864&1|1061&2|284&2|237&3|744&4|1009&3|275&4|740&4|1331&4|127&4
443&1|678&3|205&5|228&3|876&2|687&2|423&5|705&4|457&4|462&4|1330&3|275&2;455&3|300&2|257&5|890&2;443&1|678&3|205&5|228&3|876&2|687&2|423&5|705&4|457&4|462&4|1330&3|275&2|455&3|300&2|257&5|890&2
481&3|238&4|483&4|302&5|657&5|428&4|188&3|23&4|479&5|340&3|28&3|1134&3;1&4|237&4|50&3|276&4;481&3|238&4|483&4|302&5|657&5|428&4|188&3|23&4|479&5|340&3|28&3|1134&3|1&4|237&4|50&3|276&4
69&3|134&5|223&4|302&5|56&3|878&1|179&5|195&4|100&5|204&4|205&5|327&4;232&3|181&5|135&5|210&4;69&3|134&5|223&4|302&5|56&3|878&1|179&5|195&4|100&5|204&4|205&5|327&4|232&3|181&5|135&5|210&4
746&3|88&1|151&3|743&2|28&2|10&5|150&2|156&3|469&3|607&3|485&3|22&4;50&5|1060&1|1614&3|190&5;746&3|88&1|151&3|743&2|28&2|10&5|150&2|156&3|469&3|607&3|485&3|22&4|50&5|1060&1|1614&3|190&5
402&4|298&5|479&4|371&5|615&4|6&5|690&1|242&4|521&4|294&4|276&4|340&4;487&5|385&5|483&5|691&5;402&4|298&5|479&4|371&5|615&4|6&5|690&1|242&4|521&4|294&4|276&4|340&4|487&5|385&5|483&5|691&5
82&3|70&4|102&3|969&4|233&5|482&5|204&4|181&4|760&3|755&4|98&5|58&4;5&4|422&1|99&3|125&4;82&3|70&4|102&3|969&4|233&5|482&5|204&4|181&4|760&3|755&4|98&5|58&4|5&4|422&1|99&3|125&4
333&1|327&2|302&4|300&3|1295&3|272&3|308&2|268&4|311&3|1296&3|325&2|319&2;337&2|312&1|338&2|689&2;333&1|327&2|302&4|300&3|1295&3|272&3|308&2|268&4|311&3|1296&3|325&2|319&2|337&2|312&1|338&2|689&2
663&5|304&4|11&4|342&5|91&4|382&4|385&5|168&5|33&3|174&5|580&5|53&4;1258&3|1010&3|926&3|302&5;663&5|304&4|11&4|342&5|91&4|382&4|385&5|168&5|33&3|174&5|580&5|53&4|1258&3|1010&3|926&3|302&5
214&3|169&4|23&4|7&5|4&3|651&4|114&4|174&5|480&4|634&5|28&4|175&4;173&5|195&4|436&4|206&2;214&3|169&4|23&4|7&5|4&3|651&4|114&4|174&5|480&4|634&5|28&4|175&4|173&5|195&4|436&4|206&2
125&4|676&2|300&5|111&2|756&4|258&4|934&3|237&5|975&4|323&3|1016&3|1&5;298&5|284&4|293&4|118&4;125&4|676&2|300&5|111&2|756&4|258&4|934&3|237&5|975&4|323&3|1016&3|1&5|298&5|284&4|293&4|118&4
321&3|172&1|181&1|568&4|216&2|322&3|678&2|56&5|357&5|325&2|294&2|323&2;258&5|510&3|187&2|79&5;321&3|172&1|181&1|568&4|216&2|322&3|678&2|56&5|357&5|325&2|294&2|323&2|258&5|510&3|187&2|79&5
97&5|692&5|233&5|144&4|265&5|161&4|9&1|51&4|56&5|125&4|293&5|228&5;427&5|94&4|699&4|87&5;97&5|692&5|233&5|144&4|265&5|161&4|9&1|51&4|56&5|125&4|293&5|228&5|427&5|94&4|699&4|87&5
176&3|483&3|582&4|195&3|174&4|163&3|692&4|322&4|487&4|204&4|60&5|535&4;319&3|333&3|88&4|1300&2;176&3|483&3|582&4|195&3|174&4|163&3|692&4|322&4|487&4|204&4|60&5|535&4|319&3|333&3|88&4|1300&2
287&5|628&4|179&5|447&4|705&5|715&4|200&5|566&4|228&3|109&3|121&2|541&4;576&4|331&4|352&4|540&3;287&5|628&4|179&5|447&4|705&5|715&4|200&5|566&4|228&3|109&3|121&2|541&4|576&4|331&4|352&4|540&3
508&5|591&5|255&5|841&4|326&5|280&5|121&5|411&4|1190&5|405&4|680&2|1054&4;1051&5|476&5|934&3|1023&4;508&5|591&5|255&5|841&4|326&5|280&5|121&5|411&4|1190&5|405&4|680&2|1054&4|1051&5|476&5|934&3|1023&4
300&2|191&4|264&3|7&4|675&3|25&5|100&3|128&3|11&5|156&4|153&3|173&5;818&2|105&3|756&3|122&3;300&2|191&4|264&3|7&4|675&3|25&5|100&3|128&3|11&5|156&4|153&3|173&5|818&2|105&3|756&3|122&3
744&4|300&2|302&2|258&2|327&1|475&4|690&4|455&1|301&3|294&5|7&3|9&4;109&1|628&3|118&1|117&4;744&4|300&2|302&2|258&2|327&1|475&4|690&4|455&1|301&3|294&5|7&3|9&4|109&1|628&3|118&1|117&4
879&1|288&3|302&4|323&1|948&1|336&1|286&5|681&1|333&1|270&2|988&1|330&3;272&5|678&1|243&1|923&5;879&1|288&3|302&4|323&1|948&1|336&1|286&5|681&1|333&1|270&2|988&1|330&3|272&5|678&1|243&1|923&5
322&2|328&4|300&2|258&4|271&4|269&3|303&5|286&4|690&3|288&5|346&4|302&5;875&1|245&4|312&2|1105&1;322&2|328&4|300&2|258&4|271&4|269&3|303&5|286&4|690&3|288&5|346&4|302&5|875&1|245&4|312&2|1105&1
180&5|48&5|172&4|969&5|176&3|504&5|89&4|187&5|179&5|521&5|99&5|327&5;23&5|191&5|480&5|168&5;180&5|48&5|172&4|969&5|176&3|504&5|89&4|187&5|179&5|521&5|99&5|327&5|23&5|191&5|480&5|168&5
1093&5|1095&4|25&4|123&4|240&5|827&3|147&3|121&4|64&5|412&1|1&3|546&3;117&5|405&5|1047&3|833&4;1093&5|1095&4|25&4|123&4|240&5|827&3|147&3|121&4|64&5|412&1|1&3|546&3|117&5|405&5|1047&3|833&4
923&3|238&2|591&3|93&4|527&4|168&3|7&4|692&3|396&3|132&5|153&3|216&3;575&1|421&4|499&5|642&3;923&3|238&2|591&3|93&4|527&4|168&3|7&4|692&3|396&3|132&5|153&3|216&3|575&1|421&4|499&5|642&3
204&3|157&2|197&4|640&2|855&3|485&3|646&4|56&3|224&3|615&2|98&4|182&3;191&3|522&5|210&3|527&3;204&3|157&2|197&4|640&2|855&3|485&3|646&4|56&3|224&3|615&2|98&4|182&3|191&3|522&5|210&3|527&3
98&5|208&3|240&2|176&4|568&3|195&4|528&5|317&4|127&5|50&5|42&1|566&3;100&4|213&3|204&3|483&5;98&5|208&3|240&2|176&4|568&3|195&4|528&5|317&4|127&5|50&5|42&1|566&3|100&4|213&3|204&3|483&5
710&2|481&3|194&5|12&3|604&5|357&4|168&3|97&4|154&2|94&2|182&4|479&4;153&4|684&4|88&4|162&5;710&2|481&3|194&5|12&3|604&5|357&4|168&3|97&4|154&2|94&2|182&4|479&4|153&4|684&4|88&4|162&5
117&4|1016&1|105&1|335&3|328&3|873&3|284&2|761&5|472&2|181&4|369&5|755&3;1177&5|275&5|258&5|748&4;117&4|1016&1|105&1|335&3|328&3|873&3|284&2|761&5|472&2|181&4|369&5|755&3|1177&5|275&5|258&5|748&4
5&5|3&3|933&4|179&5|550&4|597&3|291&5|24&5|1012&4|742&3|619&3|546&3;575&2|801&3|97&4|155&3;5&5|3&3|933&4|179&5|550&4|597&3|291&5|24&5|1012&4|742&3|619&3|546&3|575&2|801&3|97&4|155&3
643&4|514&2|179&5|596&5|47&5|498&5|420&5|190&5|204&5|269&3|300&4|646&5;440&1|582&5|139&3|626&5;643&4|514&2|179&5|596&5|47&5|498&5|420&5|190&5|204&5|269&3|300&4|646&5|440&1|582&5|139&3|626&5
254&3|692&5|70&4|1035&4|476&3|678&2|118&4|412&2|172&5|321&5|367&4|167&4;781&4|181&4|50&5|862&1;254&3|692&5|70&4|1035&4|476&3|678&2|118&4|412&2|172&5|321&5|367&4|167&4|781&4|181&4|50&5|862&1
756&4|255&5|36&4|781&4|722&5|111&5|280&4|294&4|553&5|25&5|778&4|1051&5;546&4|15&4|846&4|282&4;756&4|255&5|36&4|781&4|722&5|111&5|280&4|294&4|553&5|25&5|778&4|1051&5|546&4|15&4|846&4|282&4
127&4|702&2|684&4|188&5|169&2|381&4|210&3|411&3|195&4|651&4|182&4|715&4;494&4|201&5|1218&4|215&4;127&4|702&2|684&4|188&5|169&2|381&4|210&3|411&3|195&4|651&4|182&4|715&4|494&4|201&5|1218&4|215&4
129&4|742&4|748&2|237&3|282&3|333&3|117&3|125&3|301&4|873&3|294&3|326&3;717&1|137&3|7&4|458&4;129&4|742&4|748&2|237&3|282&3|333&3|117&3|125&3|301&4|873&3|294&3|326&3|717&1|137&3|7&4|458&4
316&4|339&2|328&4|258&4|300&3|323&4|751&5|313&5|301&2|678&4|539&4|269&3;1&5|508&3|892&2|338&4;316&4|339&2|328&4|258&4|300&3|323&4|751&5|313&5|301&2|678&4|539&4|269&3|1&5|508&3|892&2|338&4
892&3|890&1|303&4|258&4|301&3|315&4|322&3|342&1|292&3|286&4|319&3|340&5;308&3|880&3|351&2|355&3;892&3|890&1|303&4|258&4|301&3|315&4|322&3|342&1|292&3|286&4|319&3|340&5|308&3|880&3|351&2|355&3
874&5|269&5|288&3|344&1|362&3|340&5|303&5|328&2|324&4|258&3|1395&4|313&4;270&5|886&4|1105&2|752&4;874&5|269&5|288&3|344&1|362&3|340&5|303&5|328&2|324&4|258&3|1395&4|313&4|270&5|886&4|1105&2|752&4
748&3|116&4|546&2|243&2|322&4|282&4|678&4|124&3|304&4|742&4|471&4|237&4;117&4|147&4|100&5|285&4;748&3|116&4|546&2|243&2|322&4|282&4|678&4|124&3|304&4|742&4|471&4|237&4|117&4|147&4|100&5|285&4
307&2|269&4|294&4|306&3|900&3|313&4|301&3|315&4|270&4|333&4|300&3|339&3;347&4|937&5|748&5|288&5;307&2|269&4|294&4|306&3|900&3|313&4|301&3|315&4|270&4|333&4|300&3|339&3|347&4|937&5|748&5|288&5
763&2|1060&3|952&4|100&5|108&4|50&5|257&5|596&3|21&3|13&5|597&3|993&4;926&3|934&2|820&4|756&2;763&2|1060&3|952&4|100&5|108&4|50&5|257&5|596&3|21&3|13&5|597&3|993&4|926&3|934&2|820&4|756&2
491&3|484&5|418&5|588&5|1&5|121&4|134&4|172&4|186&4|97&5|117&5|183&3;161&5|141&4|549&5|420&5;491&3|484&5|418&5|588&5|1&5|121&4|134&4|172&4|186&4|97&5|117&5|183&3|161&5|141&4|549&5|420&5
71&4|206&3|432&3|408&5|751&3|1091&1|272&3|101&2|333&4|95&4|358&3|1&4;410&1|235&3|111&4|926&2;71&4|206&3|432&3|408&5|751&3|1091&1|272&3|101&2|333&4|95&4|358&3|1&4|410&1|235&3|111&4|926&2
127&3|66&2|204&5|866&4|194&4|238&4|845&3|287&3|328&4|1012&1|326&3|285&3;1023&2|1040&2|411&4|1054&3;127&3|66&2|204&5|866&4|194&4|238&4|845&3|287&3|328&4|1012&1|326&3|285&3|1023&2|1040&2|411&4|1054&3
127&4|274&3|845&4|248&3|137&1|19&4|100&5|286&5|242&5|285&5|275&2|124&5;313&5|302&5|750&5|276&5;127&4|274&3|845&4|248&3|137&1|19&4|100&5|286&5|242&5|285&5|275&2|124&5|313&5|302&5|750&5|276&5
1&5|477&5|121&3|815&4|275&4|151&1|14&4|476&4|866&2|118&3|125&1|15&5;235&4|934&3|412&2|820&3;1&5|477&5|121&3|815&4|275&4|151&1|14&4|476&4|866&2|118&3|125&1|15&5|235&4|934&3|412&2|820&3
520&5|289&2|58&3|660&5|427&4|50&2|214&2|185&4|137&1|778&3|71&3|673&3;532&3|582&3|284&2|281&3;520&5|289&2|58&3|660&5|427&4|50&2|214&2|185&4|137&1|778&3|71&3|673&3|532&3|582&3|284&2|281&3
340&4|887&3|272&3|311&4|354&4|321&3|286&4|333&4|313&4|315&5|302&5|304&4;307&2|896&2|344&2|326&3;340&4|887&3|272&3|311&4|354&4|321&3|286&4|333&4|313&4|315&5|302&5|304&4|307&2|896&2|344&2|326&3
318&5|202&4|705&5|494&3|584&4|28&5|15&5|566&5|969&5|490&5|56&1|98&1;419&5|69&5|88&5|168&5;318&5|202&4|705&5|494&3|584&4|28&5|15&5|566&5|969&5|490&5|56&1|98&1|419&5|69&5|88&5|168&5
553&3|70&5|1268&2|660&3|792&3|519&4|699&5|269&5|197&5|83&5|190&4|582&5;737&4|378&4|403&4|1168&4;553&3|70&5|1268&2|660&3|792&3|519&4|699&5|269&5|197&5|83&5|190&4|582&5|737&4|378&4|403&4|1168&4
258&5|289&3|327&4|269&4|338&1|326&3|304&3|286&3|879&2|242&4|872&3|288&3;1175&5|270&5|889&5|683&5;258&5|289&3|327&4|269&4|338&1|326&3|304&3|286&3|879&2|242&4|872&3|288&3|1175&5|270&5|889&5|683&5
748&2|597&2|269&5|284&3|121&4|235&3|1028&3|118&4|476&4|15&3|1011&3|1093&3;824&2|831&1|934&4|120&1;748&2|597&2|269&5|284&3|121&4|235&3|1028&3|118&4|476&4|15&3|1011&3|1093&3|824&2|831&1|934&4|120&1
508&5|325&2|930&2|1040&2|15&5|237&3|597&3|302&4|98&5|371&5|174&3|274&3;831&1|827&3|252&4|284&2;508&5|325&2|930&2|1040&2|15&5|237&3|597&3|302&4|98&5|371&5|174&3|274&3|831&1|827&3|252&4|284&2
293&4|297&3|283&3|127&4|151&3|285&4|1142&4|532&3|1&2|146&4|1137&3|129&3;276&5|870&2|311&5|298&2;293&4|297&3|283&3|127&4|151&3|285&4|1142&4|532&3|1&2|146&4|1137&3|129&3|276&5|870&2|311&5|298&2
686&4|573&4|890&2|572&4|89&4|27&3|245&3|657&4|192&3|144&3|66&3|38&3;551&2|219&2|24&4|774&4;686&4|573&4|890&2|572&4|89&4|27&3|245&3|657&4|192&3|144&3|66&3|38&3|551&2|219&2|24&4|774&4
172&5|121&5|27&5|38&5|568&4|625&5|143&5|406&4|928&5|298&5|588&5|633&5;133&5|15&5|197&5|207&5;172&5|121&5|27&5|38&5|568&4|625&5|143&5|406&4|928&5|298&5|588&5|633&5|133&5|15&5|197&5|207&5
179&5|462&4|100&5|475&4|146&3|14&4|269&5|300&1|70&4|323&2|258&5|640&1;949&2|1214&1|1018&2|510&5;179&5|462&4|100&5|475&4|146&3|14&4|269&5|300&1|70&4|323&2|258&5|640&1|949&2|1214&1|1018&2|510&5
304&5|892&4|323&5|243&3|258&5|895&5|308&4|286&5|300&5|289&2|292&3|294&4;901&4|748&3|315&4|988&4;304&5|892&4|323&5|243&3|258&5|895&5|308&4|286&5|300&5|289&2|292&3|294&4|901&4|748&3|315&4|988&4
323&4|333&1|25&4|117&4|9&3|125&5|742&2|24&3|245&3|628&4|1&4|682&2;148&4|237&4|118&3|410&4;323&4|333&1|25&4|117&4|9&3|125&5|742&2|24&3|245&3|628&4|1&4|682&2|148&4|237&4|118&3|410&4
121&4|275&4|294&3|216&5|172&4|1134&5|285&4|100&5|118&3|286&4|51&3|69&4;170&4|160&3|91&5|218&4;121&4|275&4|294&3|216&5|172&4|1134&5|285&4|100&5|118&3|286&4|51&3|69&4|170&4|160&3|91&5|218&4
197&5|81&4|345&2|504&4|188&5|1063&5|435&4|479&4|604&5|14&5|134&5|302&4;475&2|528&4|425&4|86&5;197&5|81&4|345&2|504&4|188&5|1063&5|435&4|479&4|604&5|14&5|134&5|302&4|475&2|528&4|425&4|86&5
288&3|271&3|21&4|1013&4|546&3|748&4|302&3|762&4|248&4|1054&3|168&4|121&3;195&4|169&5|89&4|265&3;288&3|271&3|21&4|1013&4|546&3|748&4|302&3|762&4|248&4|1054&3|168&4|121&3|195&4|169&5|89&4|265&3
209&5|186&3|168&4|288&2|39&2|173&3|33&4|516&5|466&4|153&4|100&4|23&4;8&3|789&3|504&3|203&4;209&5|186&3|168&4|288&2|39&2|173&3|33&4|516&5|466&4|153&4|100&4|23&4|8&3|789&3|504&3|203&4
243&2|682&3|328&4|346&3|288&3|245&4|988&4|315&3|321&3|876&3|286&3|311&4;249&2|50&4|257&4|295&3;243&2|682&3|328&4|346&3|288&3|245&4|988&4|315&3|321&3|876&3|286&3|311&4|249&2|50&4|257&4|295&3
588&4|568&4|88&4|294&3|177&5|255&4|405&4|134&4|174&4|496&4|77&4|22&5;203&3|604&4|831&3|196&4;588&4|568&4|88&4|294&3|177&5|255&4|405&4|134&4|174&4|496&4|77&4|22&5|203&3|604&4|831&3|196&4
405&3|475&5|926&2|497&4|458&5|201&5|157&5|50&4|762&3|150&4|1019&5|604&4;328&3|211&4|484&5|218&4;405&3|475&5|926&2|497&4|458&5|201&5|157&5|50&4|762&3|150&4|1019&5|604&4|328&3|211&4|484&5|218&4
355&3|324&1|328&3|313&3|300&5|305&4|269&4|245&4|902&5|342&2|333&4|347&5;323&4|748&2|678&3|260&3;355&3|324&1|328&3|313&3|300&5|305&4|269&4|245&4|902&5|342&2|333&4|347&5|323&4|748&2|678&3|260&3
7&4|15&3|147&3|282&3|24&4|742&4|109&3|455&4|477&2|117&4|685&4|1&3;254&1|363&3|926&3|473&1;7&4|15&3|147&3|282&3|24&4|742&4|109&3|455&4|477&2|117&4|685&4|1&3|254&1|363&3|926&3|473&1
1018&4|178&5|665&3|135&5|182&5|480&5|358&2|22&4|243&1|108&4|181&4|988&1;223&4|345&4|748&2|302&5;1018&4|178&5|665&3|135&5|182&5|480&5|358&2|22&4|243&1|108&4|181&4|988&1|223&4|345&4|748&2|302&5
993&4|191&4|928&3|105&1|1615&1|197&3|206&3|235&3|118&4|202&4|168&5|91&4;556&2|398&2|80&4|567&2;993&4|191&4|928&3|105&1|1615&1|197&3|206&3|235&3|118&4|202&4|168&5|91&4|556&2|398&2|80&4|567&2
132&3|435&5|514&5|735&2|187&4|479&4|483&4|100&4|511&5|182&4|480&3|165&5;847&4|9&5|275&4|704&3;132&3|435&5|514&5|735&2|187&4|479&4|483&4|100&4|511&5|182&4|480&3|165&5|847&4|9&5|275&4|704&3
168&5|172&5|654&5|190&4|515&5|211&2|127&5|429&4|183&3|589&5|133&5|603&5;136&5|179&5|187&5|98&4;168&5|172&5|654&5|190&4|515&5|211&2|127&5|429&4|183&3|589&5|133&5|603&5|136&5|179&5|187&5|98&4
331&3|238&5|709&3|69&5|196&4|12&5|317&4|153&5|56&5|423&5|55&4|286&4;275&5|284&4|199&5|467&5;331&3|238&5|709&3|69&5|196&4|12&5|317&4|153&5|56&5|423&5|55&4|286&4|275&5|284&4|199&5|467&5
302&5|879&4|322&3|258&5|303&5|181&3|297&5|268&4|301&4|269&4|286&3|340&3;100&5|9&5|408&4|298&4;302&5|879&4|322&3|258&5|303&5|181&3|297&5|268&4|301&4|269&4|286&3|340&3|100&5|9&5|408&4|298&4
676&3|322&3|1&4|595&3|147&1|471&2|1033&3|25&4|475&1|268&2|280&2|117&2;926&2|1284&1|866&3|546&1;676&3|322&3|1&4|595&3|147&1|471&2|1033&3|25&4|475&1|268&2|280&2|117&2|926&2|1284&1|866&3|546&1
248&3|237&3|276&3|246&4|1&4|268&4|100&5|294&4|410&1|327&2|7&4|298&4;685&2|742&3|181&2|125&4;248&3|237&3|276&3|246&4|1&4|268&4|100&5|294&4|410&1|327&2|7&4|298&4|685&2|742&3|181&2|125&4
313&5|682&4|288&4|333&4|300&4|887&5|346&4|340&4|299&2|895&4|872&5|358&1;678&2|294&4|322&3|908&4;313&5|682&4|288&4|333&4|300&4|887&5|346&4|340&4|299&2|895&4|872&5|358&1|678&2|294&4|322&3|908&4
181&4|50&4|7&3|15&5|174&5|156&4|628&5|845&3|96&4|284&2|257&4|568&4;546&4|748&2|281&4|121&4;181&4|50&4|7&3|15&5|174&5|156&4|628&5|845&3|96&4|284&2|257&4|568&4|546&4|748&2|281&4|121&4
682&4|306&4|882&4|324&4|1392&4|360&4|1429&4|1233&4|264&4|310&4|689&4|307&4;271&3|319&5|872&4|336&4;682&4|306&4|882&4|324&4|1392&4|360&4|1429&4|1233&4|264&4|310&4|689&4|307&4|271&3|319&5|872&4|336&4
623&3|63&3|432&3|204&5|448&3|683&4|971&3|878&1|94&5|51&4|172&4|510&4;190&4|445&4|415&3|728&3;623&3|63&3|432&3|204&5|448&3|683&4|971&3|878&1|94&5|51&4|172&4|510&4|190&4|445&4|415&3|728&3
739&4|241&5|1014&2|1039&3|1&3|98&5|928&3|69&1|273&5|211&4|1282&5|17&2;215&2|664&3|217&4|91&3;739&4|241&5|1014&2|1039&3|1&3|98&5|928&3|69&1|273&5|211&4|1282&5|17&2|215&2|664&3|217&4|91&3
977&3|566&5|1033&3|1083&1|55&4|596&4|12&1|1046&3|550&4|118&2|159&5|554&1;829&4|330&4|302&3|327&3;977&3|566&5|1033&3|1083&1|55&4|596&4|12&1|1046&3|550&4|118&2|159&5|554&1|829&4|330&4|302&3|327&3
614&4|650&3|601&4|260&1|488&4|172&4|193&5|497&3|318&5|501&5|566&3|162&4;49&4|159&4|1050&4|633&4;614&4|650&3|601&4|260&1|488&4|172&4|193&5|497&3|318&5|501&5|566&3|162&4|49&4|159&4|1050&4|633&4
321&2|269&5|244&3|286&4|258&3|242&4|305&4|303&5|1628&5|347&4|306&5|1007&4;937&1|1653&5|1101&4|1255&1;321&2|269&5|244&3|286&4|258&3|242&4|305&4|303&5|1628&5|347&4|306&5|1007&4|937&1|1653&5|1101&4|1255&1
878&4|95&4|432&1|932&5|418&3|946&2|1&4|172&4|465&5|8&5|99&2|82&5;501&3|102&5|420&1|151&2;878&4|95&4|432&1|932&5|418&3|946&2|1&4|172&4|465&5|8&5|99&2|82&5|501&3|102&5|420&1|151&2
15&2|672&3|452&3|219&5|687&2|42&5|228&4|879&5|595&3|869&4|1041&5|266&3;831&1|236&1|1002&1|450&3;15&2|672&3|452&3|219&5|687&2|42&5|228&4|879&5|595&3|869&4|1041&5|266&3|831&1|236&1|1002&1|450&3
467&3|1057&2|1040&3|500&4|809&4|2&5|96&4|1407&3|238&3|1126&1|49&3|615&4;389&4|717&3|145&2|974&3;467&3|1057&2|1040&3|500&4|809&4|2&5|96&4|1407&3|238&3|1126&1|49&3|615&4|389&4|717&3|145&2|974&3
300&4|269&3|879&3|245&4|328&4|323&3|294&5|748&4|332&3|690&3|303&4|327&3;988&2|689&3|538&4|307&3;300&4|269&3|879&3|245&4|328&4|323&3|294&5|748&4|332&3|690&3|303&4|327&3|988&2|689&3|538&4|307&3
222&5|919&5|194&3|174&4|435&4|484&3|432&4|23&5|466&3|82&4|186&3|193&4;434&4|32&5|431&3|670&5;222&5|919&5|194&3|174&4|435&4|484&3|432&4|23&5|466&3|82&4|186&3|193&4|434&4|32&5|431&3|670&5
276&5|762&3|248&3|293&4|340&3|150&4|257&4|475&4|1011&2|246&5|268&5|1012&3;742&2|108&4|249&3|1016&4;276&5|762&3|248&3|293&4|340&3|150&4|257&4|475&4|1011&2|246&5|268&5|1012&3|742&2|108&4|249&3|1016&4
204&5|88&5|447&3|154&4|162&5|625&3|95&4|215&5|433&5|83&5|1469&3|421&5;63&5|217&4|1180&2|380&3;204&5|88&5|447&3|154&4|162&5|625&3|95&4|215&5|433&5|83&5|1469&3|421&5|63&5|217&4|1180&2|380&3
200&5|121&5|98&5|50&5|258&4|300&3|164&4|690&2|343&3|447&3|760&5|682&3;53&5|672&3|860&4|769&4;200&5|121&5|98&5|50&5|258&4|300&3|164&4|690&2|343&3|447&3|760&5|682&3|53&5|672&3|860&4|769&4
42&5|56&4|50&4|191&3|405&3|268&5|523&5|215&2|276&2|144&3|172&3|1028&1;228&3|133&2|69&3|28&5;42&5|56&4|50&4|191&3|405&3|268&5|523&5|215&2|276&2|144&3|172&3|1028&1|228&3|133&2|69&3|28&5
690&3|1296&2|1393&2|258&5|938&4|242&4|304&3|879&4|306&2|1025&5|331&5|300&3;319&4|324&3|286&4|333&3;690&3|1296&2|1393&2|258&5|938&4|242&4|304&3|879&4|306&2|1025&5|331&5|300&3|319&4|324&3|286&4|333&3
